channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
bit2,RS0083,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
bit3,RS0095,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
bit4,RS0109,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
bit5,RS0175,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,2,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
bit6,RS0237,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,2,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
bit7,RS0247,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,3,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
bit8,RS0255,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,3,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
bit9,RS0307,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,4,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
bit10,RS0332,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,4,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
bit11,RS0343,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,5,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,14,561
bit12,RS0384,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,5,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,14,561
bit13,RS0406,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,6,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,14,561
bit14,RS0451,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,6,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,14,561
bit15,RS0468,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,7,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,14,561
bit16,RS0548,Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,7,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s7-650s7-560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,14,561
polyT,,Epi-750s1-650s1-560s1-488s7-405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),17,-1,488,[3 4 5 6 7 8 9],[0.  1.5 3.  4.5 6.  7.5 9. ],Epi-750s1-650s1-560s1-488s7-405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,2,561
DAPI,,Epi-750s1-650s1-560s1-488s7-405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),18,-1,405,[10 11 12 13 14 15 16],[9.  7.5 6.  4.5 3.  1.5 0. ],Epi-750s1-650s1-560s1-488s7-405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,2,561
